Id, Situacao, qntElementos, Média, espaçoVazio
106,liberado,58,46896,2720020
40,liberado,58,47378,2747966
336,alocado,58,47940,2780574
79,liberado,58,47275,2741986
337,alocado,59,46960,2770654
337,liberado,59,46352,2734822
338,alocado,59,46960,2770654
327,liberado,59,46170,2724081
258,liberado,59,46610,2750016
96,liberado,59,46705,2755637
339,alocado,60,45994,2759684
237,liberado,60,45025,2701551
340,alocado,61,44582,2719505
242,liberado,61,43712,2666481
341,alocado,62,43690,2708830
156,liberado,62,43619,2704405
342,alocado,62,43895,2721534
343,alocado,62,43624,2704735
145,liberado,62,42902,2659929
344,alocado,62,43150,2675337
345,alocado,62,42546,2637874
346,alocado,62,41936,2600048
347,alocado,62,41792,2591142
348,alocado,62,41700,2585426
241,liberado,62,41333,2562693
349,alocado,62,41607,2579682
350,alocado,62,41157,2551752
351,alocado,62,40652,2520451
21,liberado,62,39802,2467760
352,alocado,62,39988,2479304
336,liberado,62,39517,2450082
353,alocado,62,40139,2488670
354,alocado,62,39466,2446909
15,liberado,62,39297,2436452
355,alocado,63,38989,2456321
356,alocado,63,38914,2451626
289,liberado,63,38734,2440303
230,liberado,63,39152,2466638
200,liberado,64,39016,2497059
64,liberado,65,39095,2541196
299,liberado,66,38599,2547596
130,liberado,67,38617,2587368
171,liberado,68,38837,2640919
357,alocado,68,39418,2680485
358,alocado,68,39243,2668544
328,liberado,68,38931,2647369
359,alocado,69,38966,2688675
360,alocado,69,38334,2645068
361,alocado,69,38193,2635365
362,alocado,69,37594,2594017
363,alocado,69,37301,2573795
300,liberado,69,36872,2544192
364,alocado,69,36941,2548941
365,alocado,69,36747,2535590
186,liberado,69,35860,2474403
366,alocado,69,36002,2484170
367,alocado,69,35670,2461240
368,alocado,69,35271,2433729
369,alocado,69,34776,2399610
370,alocado,69,34153,2356583
112,liberado,69,34126,2354701
371,alocado,69,34312,2367573
114,liberado,69,33804,2332518
372,alocado,69,34231,2361956
5,liberado,69,33957,2343101
146,liberado,69,34710,2395046
33,liberado,69,35637,2458986
326,liberado,69,36195,2497473
373,alocado,69,36911,2546885
356,liberado,69,36696,2532067
307,liberado,68,37402,2543390
374,alocado,68,37655,2560563
315,liberado,68,37251,2533087
375,alocado,68,37657,2560694
338,liberado,68,37302,2536583
329,liberado,68,37987,2583156
189,liberado,68,38278,2602946
45,liberado,68,38649,2628156
224,liberado,69,38527,2658414
285,liberado,69,39188,2704015
330,liberado,70,39481,2763712
22,liberado,71,39607,2812159
231,liberado,71,40270,2859230
376,alocado,72,40078,2885644
377,alocado,72,39917,2874086
378,alocado,72,39903,2873058
279,liberado,72,39266,2827179
331,liberado,72,39836,2868231
379,alocado,72,39988,2879149
380,alocado,72,39956,2876866
381,alocado,72,39810,2866330
382,alocado,72,39428,2838857
383,alocado,72,39236,2825048
384,alocado,72,38656,2783240
