Id, Situacao, qntElementos, Média, espaçoVazio 
412,liberado,96,26571,2550834
31,liberado,96,26619,2555452
496,alocado,97,26517,2572183
295,liberado,97,26413,2562094
287,liberado,98,26226,2570193
497,alocado,98,26797,2626198
498,alocado,98,26325,2579873
498,liberado,98,25751,2523675
269,liberado,98,26325,2579873
250,liberado,98,26847,2631100
471,liberado,98,27215,2667131
499,alocado,98,27724,2717001
500,alocado,98,27143,2660100
135,liberado,98,26727,2619260
363,liberado,98,27383,2683576
501,alocado,97,27811,2697737
502,alocado,97,27811,2697722
503,alocado,97,27677,2684723
342,liberado,97,27603,2677566
504,alocado,97,27799,2696553
505,alocado,97,27422,2660013
506,alocado,97,27127,2631323
507,alocado,97,26756,2595374
271,liberado,97,26554,2575776
437,liberado,97,27000,2619012
508,alocado,97,27430,2660728
509,alocado,97,27126,2631314
510,alocado,97,26920,2611248
511,alocado,97,26601,2580340
512,alocado,97,26561,2576492
513,alocado,97,26473,2567936
56,liberado,97,25974,2519546
317,liberado,97,26204,2541827
514,alocado,97,26695,2589483
452,liberado,97,26677,2587704
438,liberado,98,26534,2600424
515,alocado,98,26888,2635049
111,liberado,98,26734,2619992
122,liberado,98,27270,2672557
459,liberado,98,27736,2718220
233,liberado,98,28009,2744884
516,alocado,98,28434,2786587
434,liberado,98,28218,2765364
343,liberado,98,28811,2823492
517,alocado,97,29572,2868543
518,alocado,97,29122,2824858
280,liberado,97,28920,2805242
519,alocado,97,28971,2810212
520,alocado,97,28479,2762532
521,alocado,97,28154,2730965
522,alocado,97,27863,2702741
523,alocado,97,27604,2677649
524,alocado,97,27182,2636658
525,alocado,97,26666,2586692
177,liberado,97,26368,2557788
526,alocado,97,26575,2577867
527,alocado,97,26109,2532629
298,liberado,97,25898,2512189
101,liberado,97,26060,2527834
382,liberado,98,25880,2536319
528,alocado,99,26173,2591173
449,liberado,99,25537,2528202
178,liberado,99,26103,2584242
94,liberado,99,26397,2613359
529,alocado,99,26482,2621805
530,alocado,99,26230,2596814
214,liberado,99,26194,2593212
216,liberado,98,26635,2610232
219,liberado,97,26964,2615542
531,alocado,97,27381,2655969
532,alocado,97,27293,2647478
533,alocado,97,27225,2640873
534,alocado,97,27119,2630607
535,alocado,97,26646,2584691
536,alocado,97,26133,2534972
537,alocado,97,26035,2525418
351,liberado,97,25577,2480995
41,liberado,98,25615,2510325
296,liberado,98,25766,2525163
538,alocado,98,26033,2551260
474,liberado,98,25921,2540324
402,liberado,98,26496,2596648
539,alocado,97,26776,2597283
540,alocado,97,26555,2575914
97,liberado,97,26421,2562905
541,alocado,98,26201,2567769
542,alocado,98,26040,2551929
156,liberado,98,25635,2512316
99,liberado,99,25458,2520371
345,liberado,100,25293,2529315
543,alocado,100,25541,2554145
544,alocado,100,25185,2518578
545,alocado,100,24854,2485456
546,alocado,100,24470,2447075
392,liberado,100,24000,2400069
547,alocado,101,24044,2428527
422,liberado,101,23439,2367354
124,liberado,101,23582,2381790
548,alocado,101,23910,2414946
484,liberado,101,23503,2373876
549,alocado,102,23571,2404243
550,alocado,102,23473,2394295
221,liberado,102,23382,2384967
258,liberado,103,23706,2441772
551,alocado,103,24117,2484133
552,alocado,103,23798,2451207
553,alocado,103,23692,2440378
321,liberado,103,23490,2419529
290,liberado,103,23564,2427164
318,liberado,103,23842,2455760
417,liberado,103,23980,2469960
440,liberado,104,23944,2490267
554,alocado,105,23871,2506480
483,liberado,105,23539,2471640
398,liberado,105,23579,2475870
220,liberado,106,23613,2502984
555,alocado,106,24060,2550379
556,alocado,106,23496,2490632
557,alocado,106,23131,2451908
558,alocado,106,22708,2407060
143,liberado,106,22576,2393079
353,liberado,106,23075,2445985
559,alocado,106,23390,2479384
448,liberado,106,23265,2466179
560,alocado,106,23373,2477570
561,alocado,106,23350,2475136
223,liberado,106,22975,2435449
28,liberado,106,23116,2450385
383,liberado,107,22987,2459637
562,alocado,107,23482,2512592
563,alocado,107,23203,2482757
299,liberado,107,22787,2438240
234,liberado,107,23136,2475650
291,liberado,108,22957,2479373
564,alocado,108,23357,2522650
565,alocado,108,22909,2474172
566,alocado,108,22691,2450697
479,liberado,108,22295,2407945
567,alocado,107,22923,2452852
237,liberado,107,22412,2398134
144,liberado,107,22817,2441511
568,alocado,107,23270,2489923
569,alocado,107,23055,2466964
570,alocado,107,22828,2442685
571,alocado,107,22592,2417393
572,alocado,107,22254,2381215
573,alocado,107,21980,2351900
535,liberado,107,21870,2340187
